,Suburb,Postcode,Local government area,Location[citation needed],Distance[3][citation needed],Area[citation needed],Population[citation needed],Population density[citation needed],Date established[citation needed],Address,Latitude,Longitude
288,Melbourne CBD,3000,City of Melbourne,,,,,,,"Melbourne CBD, VIC 3000, Australia",-37.8141823,144.9598007
289,Melbourne CBD (St Kilda Road area),3004,"City of Melbourne (east side to High Street, Prahran); City of Port Phillip (west side and road south of High Street, Prahran)",,,,,,,"Melbourne CBD (St Kilda Road area), VIC 3004, Australia",0.0,0.0
290,North Melbourne,3051,City of Melbourne; City of Moonee Valley,,,,,,,"North Melbourne, VIC 3051, Australia",-37.7985747,144.9451741
291,Parkville,3052,City of Melbourne,,,,,,,"Parkville, VIC 3052, Australia",-37.7871148,144.9515533
292,Port Melbourne,3207,City of Melbourne; City of Port Phillip,,,,,,,"Port Melbourne, VIC 3207, Australia",-37.8333613,144.9219203
293,Southbank,3006,City of Melbourne; City of Port Phillip,,,,,,,"Southbank, VIC 3006, Australia",-37.8253618,144.9640203
294,South Wharf,3006,City of Melbourne; City of Port Phillip,,,,,,,"South Wharf, VIC 3006, Australia",-37.8253279,144.9493432
295,South Yarra,3141,City of Melbourne; City of Stonnington,,,,,,,"South Yarra, VIC 3141, Australia",-37.8377695,144.9918537
296,West Melbourne,3003,City of Melbourne,,,,,,,"West Melbourne, VIC 3003, Australia",-37.81044755,144.920429793501
297,Aintree,3336,City of Melton,,,,,,,"Aintree, VIC 3336, Australia",-37.7193933,144.6694023
298,Bonnie Brook,3335,City of Melton,,,,,,,"Bonnie Brook, VIC 3335, Australia",-37.70020195,144.676600098116
299,Brookfield,3338,City of Melton,,,,,,,"Brookfield, VIC 3338, Australia",-37.6993389,144.5405513
300,Burnside,3023,City of Melton,,,,,,,"Burnside, VIC 3023, Australia",-37.749374,144.753027
301,Burnside Heights,3023,City of Melton,,,,,,,"Burnside Heights, VIC 3023, Australia",-37.7324225,144.7555804
302,Caroline Springs,3023,City of Melton,,,,,,,"Caroline Springs, VIC 3023, Australia",-37.7345608,144.7371975
303,Cobblebank,3338,City of Melton,,,,,,,"Cobblebank, VIC 3338, Australia",-37.7063004,144.6025657
304,Deanside,3336,City of Melton,,,,,,,"Deanside, VIC 3336, Australia",-37.727933,144.7046475
305,Exford,3338,City of Melton,,,,,,,"Exford, VIC 3338, Australia",-37.7288883,144.542927959977
306,Eynesbury,3338,City of Melton; City of Wyndham,,,,,,,"Eynesbury, VIC 3338, Australia",-37.7908381,144.5561657
307,Fieldstone,3024,City of Melton,,,,,,,"Fieldstone, VIC 3024, Australia",-37.7498668,144.6482563
308,Fraser Rise,3336,City of Melton,,,,,,,"Fraser Rise, VIC 3336, Australia",-37.7059863,144.7174013
309,Grangefields,3335,City of Melton,,,,,,,"Grangefields, VIC 3335, Australia",-37.7000297,144.6351268
310,Harkness,3337,City of Melton,,,,,,,"Harkness, VIC 3337, Australia",-37.6567808,144.5525264
311,Kurunjang,3337,City of Melton,,,,,,,"Kurunjang, VIC 3337, Australia",-37.6626777,144.5914403
312,Melton,3337,City of Melton,,,,,,,"Melton, VIC 3337, Australia",-37.6835714,144.5828446
313,Melton South,3338,City of Melton,,,,,,,"Melton South, VIC 3338, Australia",-37.7060279,144.5717723
314,Melton West,3337,City of Melton,,,,,,,"Melton West, VIC 3337, Australia",-37.6798651,144.5528895
315,Mount Cottrell,3024,City of Melton; City of Wyndham,,,,,,,"Mount Cottrell, VIC 3024, Australia",-37.76249,144.62283
316,Parwan,3340,City of Melton; Shire of Moorabool,,,,,,,"Parwan, VIC 3340, Australia",-37.7356769,144.469479215503
317,Plumpton,3335,City of Melton,,,,,,,"Plumpton, VIC 3335, Australia",-37.6727808,144.6993618
318,Ravenhall,3023,City of Melton,,,,,,,"Ravenhall, VIC 3023, Australia",-37.7754956,144.7366326
319,Rockbank,3335,City of Melton,,,,,,,"Rockbank, VIC 3335, Australia",-37.7312767,144.6607316
320,Strathtulloh,3338,City of Melton,,,,,,,"Strathtulloh, VIC 3338, Australia",-37.7324394,144.5975017
321,Taylors Hill,3037,City of Melton,,,,,,,"Taylors Hill, VIC 3037, Australia",-37.7152241,144.7533127
322,Thornhill Park,3335,City of Melton,,,,,,,"Thornhill Park, VIC 3335, Australia",-37.7274099,144.6259215
323,Toolern Vale,3337,City of Melton,,,,,,,"Toolern Vale, VIC 3337, Australia",-37.6026268,144.584952550434
324,Truganina,3029,City of Melton; City of Wyndham,,,,,,,"Truganina, VIC 3029, Australia",-37.8089015,144.721139
325,Weir Views,3338,City of Melton,,,,,,,"Weir Views, VIC 3338, Australia",-37.7323715,144.5708942
326,Ashwood,3147,City of Monash,,,,,,,"Ashwood, VIC 3147, Australia",-37.866672,145.1022346
327,Burwood,3125,City of Monash; City of Whitehorse,,,,,,,"Burwood, VIC 3125, Australia",-37.85565995,145.09844123094
328,Chadstone,3148,City of Monash,,,,,,,"Chadstone, VIC 3148, Australia",-37.8822799,145.1001365
329,Clayton,3168,City of Monash,,,,,,,"Clayton, VIC 3168, Australia",-37.9173212,145.1304242
330,Glen Waverley,3150,City of Monash,,,,,,,"Glen Waverley, VIC 3150, Australia",-37.8816255,145.1681838
331,Hughesdale,3166,City of Monash,,,,,,,"Hughesdale, VIC 3166, Australia",-37.8995028,145.0811583
332,Huntingdale,3166,City of Monash,,,,,,,"Huntingdale, VIC 3166, Australia",-37.9076585,145.1084736
333,Monash University,3800,City of Monash,,,,,,,"Monash University, VIC 3800, Australia",-37.9011951,145.130584919767
334,Mount Waverley,3149,City of Monash,,,,,,,"Mount Waverley, VIC 3149, Australia",-37.8783923,145.1284919
335,Mulgrave,3170,City of Monash,,,,,,,"Mulgrave, VIC 3170, Australia",-37.9319869,145.18179881096
336,Notting Hill,3168,City of Monash,,,,,,,"Notting Hill, VIC 3168, Australia",-37.905582,145.1455616
337,Oakleigh,3166,City of Monash,,,,,,,"Oakleigh, VIC 3166, Australia",-37.9066691,145.111258439223
338,Oakleigh East,3166,City of Monash,,,,,,,"Oakleigh East, VIC 3166, Australia",-37.9039215,145.1153403
339,Oakleigh South,3167,City of Monash,,,,,,,"Oakleigh South, VIC 3167, Australia",-37.9248257,145.0921745
340,Wheelers Hill,3150,City of Monash,,,,,,,"Wheelers Hill, VIC 3150, Australia",-37.9103266,145.1895175
341,Aberfeldie,3040,City of Moonee Valley,,,,,,,"Aberfeldie, VIC 3040, Australia",-37.7596196,144.8974571
342,Airport West,3042,City of Moonee Valley,,,,,,,"Airport West, VIC 3042, Australia",-37.7222576,144.8834942
343,Ascot Vale,3032,City of Moonee Valley,,,,,,,"Ascot Vale, VIC 3032, Australia",-37.7769563,144.9137235
344,Avondale Heights,3034,City of Moonee Valley,,,,,,,"Avondale Heights, VIC 3034, Australia",-37.7614537,144.862141
345,Essendon,3040,City of Moonee Valley,,,,,,,"Essendon, VIC 3040, Australia",-37.74945485,144.913193712624
346,Essendon Fields,3041,City of Moonee Valley,,,,,,,"Essendon Fields, VIC 3041, Australia",-37.7269212,144.9004134
347,Essendon North,3041,City of Moonee Valley,,,,,,,"Essendon North, VIC 3041, Australia",-37.7384762,144.9012027
348,Essendon West,3040,City of Moonee Valley,,,,,,,"Essendon West, VIC 3040, Australia",-37.75464,144.883441718625
349,Moonee Ponds,3039,City of Moonee Valley,,,,,,,"Moonee Ponds, VIC 3039, Australia",-37.765575,144.9212864
